claim_id,instance_id,shots,sim_seed,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
L2-C1,er_n8_p0.2_seed1,1024,7,0.0,2.2900390625,2.732421875,0.4423828125,1
L2-C2,er_n8_p0.2_seed1,1024,7,0.01,2.2900390625,2.732421875,0.4423828125,1
L2-C3,er_n8_p0.2_seed1,1024,7,0.05,2.2900390625,2.732421875,0.4423828125,1
L2-C1,er_n8_p0.2_seed1,1024,8,0.0,2.2275390625,2.75,0.5224609375,1
L2-C2,er_n8_p0.2_seed1,1024,8,0.01,2.2275390625,2.75,0.5224609375,1
L2-C3,er_n8_p0.2_seed1,1024,8,0.05,2.2275390625,2.75,0.5224609375,1
L2-C1,er_n8_p0.2_seed1,1024,9,0.0,2.25,2.6943359375,0.4443359375,1
L2-C2,er_n8_p0.2_seed1,1024,9,0.01,2.25,2.6943359375,0.4443359375,1
L2-C3,er_n8_p0.2_seed1,1024,9,0.05,2.25,2.6943359375,0.4443359375,1
L2-C1,er_n8_p0.2_seed1,4096,0,0.0,2.300048828125,2.705810546875,0.40576171875,1
L2-C2,er_n8_p0.2_seed1,4096,0,0.01,2.300048828125,2.705810546875,0.40576171875,1
L2-C3,er_n8_p0.2_seed1,4096,0,0.05,2.300048828125,2.705810546875,0.40576171875,1
L2-C1,er_n8_p0.2_seed1,4096,1,0.0,2.255859375,2.737060546875,0.481201171875,1
L2-C2,er_n8_p0.2_seed1,4096,1,0.01,2.255859375,2.737060546875,0.481201171875,1
L2-C3,er_n8_p0.2_seed1,4096,1,0.05,2.255859375,2.737060546875,0.481201171875,1
L2-C1,er_n8_p0.2_seed1,4096,2,0.0,2.231689453125,2.743896484375,0.51220703125,1
L2-C2,er_n8_p0.2_seed1,4096,2,0.01,2.231689453125,2.743896484375,0.51220703125,1
L2-C3,er_n8_p0.2_seed1,4096,2,0.05,2.231689453125,2.743896484375,0.51220703125,1
L2-C1,er_n8_p0.2_seed1,4096,3,0.0,2.23974609375,2.717529296875,0.477783203125,1
L2-C2,er_n8_p0.2_seed1,4096,3,0.01,2.23974609375,2.717529296875,0.477783203125,1
