claim_id,instance_id,l1_regime,shots,sim_seed,noise_regime,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,1,ideal,0.01,2.25390625,2.380859375,0.126953125,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,1,ideal,0.05,2.25390625,2.380859375,0.126953125,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,1,depol-medium,0.0,2.408203125,2.599609375,0.19140625,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,1,depol-medium,0.01,2.408203125,2.599609375,0.19140625,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,1,depol-medium,0.05,2.408203125,2.599609375,0.19140625,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,1,depol-high,0.0,2.5859375,2.80859375,0.22265625,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,1,depol-high,0.01,2.5859375,2.80859375,0.22265625,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,1,depol-high,0.05,2.5859375,2.80859375,0.22265625,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,2,ideal,0.0,2.251953125,2.416015625,0.1640625,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,2,ideal,0.01,2.251953125,2.416015625,0.1640625,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,2,ideal,0.05,2.251953125,2.416015625,0.1640625,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,2,depol-medium,0.0,2.40625,2.59765625,0.19140625,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,2,depol-medium,0.01,2.40625,2.59765625,0.19140625,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,2,depol-medium,0.05,2.40625,2.59765625,0.19140625,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,2,depol-high,0.0,2.583984375,2.806640625,0.22265625,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,2,depol-high,0.01,2.583984375,2.806640625,0.22265625,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,2,depol-high,0.05,2.583984375,2.806640625,0.22265625,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,0,ideal,0.0,2.234375,2.3837890625,0.1494140625,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,0,ideal,0.01,2.234375,2.3837890625,0.1494140625,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,0,ideal,0.05,2.234375,2.3837890625,0.1494140625,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,0,depol-medium,0.0,2.4140625,2.53515625,0.12109375,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,0,depol-medium,0.01,2.4140625,2.53515625,0.12109375,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,0,depol-medium,0.05,2.4140625,2.53515625,0.12109375,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,0,depol-high,0.0,2.6259765625,2.8173828125,0.19140625,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,0,depol-high,0.01,2.6259765625,2.8173828125,0.19140625,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,0,depol-high,0.05,2.6259765625,2.8173828125,0.19140625,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,1,ideal,0.0,2.26171875,2.37890625,0.1171875,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,1,ideal,0.01,2.26171875,2.37890625,0.1171875,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,1,ideal,0.05,2.26171875,2.37890625,0.1171875,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,1,depol-medium,0.0,2.4140625,2.537109375,0.123046875,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,1,depol-medium,0.01,2.4140625,2.537109375,0.123046875,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,1,depol-medium,0.05,2.4140625,2.537109375,0.123046875,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,1,depol-high,0.0,2.6279296875,2.8212890625,0.193359375,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,1,depol-high,0.01,2.6279296875,2.8212890625,0.193359375,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,1,depol-high,0.05,2.6279296875,2.8212890625,0.193359375,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,2,ideal,0.0,2.263671875,2.375,0.111328125,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,2,ideal,0.01,2.263671875,2.375,0.111328125,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,2,ideal,0.05,2.263671875,2.375,0.111328125,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,2,depol-medium,0.0,2.416015625,2.53515625,0.119140625,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,2,depol-medium,0.01,2.416015625,2.53515625,0.119140625,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,2,depol-medium,0.05,2.416015625,2.53515625,0.119140625,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,1024,2,depol-high,0.0,2.6298828125,2.8203125,0.1904296875,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,1024,2,depol-high,0.01,2.6298828125,2.8203125,0.1904296875,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,1024,2,depol-high,0.05,2.6298828125,2.8203125,0.1904296875,1
COMB-C1,er_n10_p0.2_seed4,default-low,512,0,ideal,0.0,4.873046875,4.732421875,-0.140625,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,0,ideal,0.01,4.873046875,4.732421875,-0.140625,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,0,ideal,0.05,4.873046875,4.732421875,-0.140625,0
COMB-C1,er_n10_p0.2_seed4,default-low,512,0,depol-medium,0.0,4.802734375,4.6796875,-0.123046875,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,0,depol-medium,0.01,4.802734375,4.6796875,-0.123046875,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,0,depol-medium,0.05,4.802734375,4.6796875,-0.123046875,0
COMB-C1,er_n10_p0.2_seed4,default-low,512,0,depol-high,0.0,4.828125,4.76171875,-0.06640625,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,0,depol-high,0.01,4.828125,4.76171875,-0.06640625,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,0,depol-high,0.05,4.828125,4.76171875,-0.06640625,0
COMB-C1,er_n10_p0.2_seed4,default-low,512,1,ideal,0.0,4.955078125,4.72265625,-0.232421875,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,1,ideal,0.01,4.955078125,4.72265625,-0.232421875,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,1,ideal,0.05,4.955078125,4.72265625,-0.232421875,0
COMB-C1,er_n10_p0.2_seed4,default-low,512,1,depol-medium,0.0,4.802734375,4.673828125,-0.12890625,0
COMB-C2,er_n10_p0.2_seed4,default-low,512,1,depol-medium,0.01,4.802734375,4.673828125,-0.12890625,0
COMB-C3,er_n10_p0.2_seed4,default-low,512,1,depol-medium,0.05,4.802734375,4.673828125,-0.12890625,0
