claim_id,accepted,specifiable_relation_schema,scalar_directional,planning_feasible,scalar_oriented_planning,perturbation_audit_candidate,verification_only,materialized_rq2,tier,notes
ext_2204_13719v3_claim2,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2408_13316v2_claim1,true,false,false,false,false,false,false,false,,
ext_2410_22247v2_claim1,true,false,false,false,false,false,false,false,,
ext_2410_22247v2_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2410_22247v2_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2210_08039v1_claim1,true,false,false,false,false,false,false,false,,
ext_2210_08039v1_claim2,true,false,false,false,false,false,false,false,,
ext_2410_07674v1_claim1,true,false,false,false,false,false,false,false,,
ext_2410_07674v1_claim2,true,false,false,false,false,false,false,false,,
ext_2208_13380v2_claim1,true,false,false,false,false,false,false,false,,
ext_2208_13380v2_claim2,true,false,false,false,false,false,false,false,,
ext_2407_01975v2_claim1,true,false,false,false,false,false,false,false,,
ext_2207_05751v3_claim2,true,false,false,false,false,false,false,false,,
ext_2207_05751v3_claim4,true,false,false,false,false,false,false,false,,
ext_2403_18395v2_claim1,true,false,false,false,false,false,false,false,,
ext_2403_18395v2_claim2,true,false,false,false,false,false,false,false,,
ext_2403_18395v2_claim3,true,false,false,false,false,false,false,false,,
ext_2403_18395v2_claim4,true,true,false,false,false,false,false,false,,
ext_2403_02045v3_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2401_02852v1_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2308_10383v2_claim1,true,false,false,false,false,false,false,false,,
ext_2308_10383v2_claim2,true,false,false,false,false,false,false,false,,
ext_2308_10383v2_claim3,true,false,false,false,false,false,false,false,,
ext_2308_10383v2_claim4,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2307_07193v3_claim2,true,false,false,false,false,false,false,false,,
ext_2303_00329v2_claim1,true,false,false,false,false,false,false,false,,
ext_2302_04479v2_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2302_04479v2_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2302_04479v2_claim3,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2208_09888v1_claim1,true,false,false,false,false,false,false,false,,
ext_2205_01192v1_claim1,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2205_01192v1_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2111_03016v3_claim1,true,false,false,false,false,false,false,false,,
ext_2111_03016v3_claim3,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2110_10788v3_claim1,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2110_10788v3_claim2,true,false,false,false,false,false,false,false,,
ext_2108_03281v1_claim1,true,false,false,false,false,false,false,false,,
ext_2101_05742v3_claim2,true,false,false,false,false,false,false,false,,
ext_2101_05742v3_claim3,true,false,false,false,false,false,false,false,,
ext_2312_06922v4_claim1,true,true,false,false,false,false,false,false,,
ext_2312_06922v4_claim2,true,true,false,false,false,false,false,false,,
ext_2310_10360v2_claim1,true,false,false,false,false,false,false,false,,
ext_2111_12754v2_claim2,true,false,false,false,false,false,false,false,,
ext_2111_00796v3_claim1,true,false,false,false,false,false,false,false,,
ext_2109_04482v2_claim1,true,false,false,false,false,false,false,false,,
ext_2412_13271v1_claim2,true,false,false,false,false,false,false,false,,
ext_2412_13271v1_claim4,true,false,false,false,false,false,false,false,,
ext_2412_13271v1_claim5,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2402_12105v1_claim1,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2309_04754v1_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2309_04754v1_claim2,true,false,false,false,false,false,false,false,,
ext_2306_02024v1_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2303_08910v3_claim1,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2212_11405v1_claim1,true,true,false,false,false,false,false,false,,
ext_2212_11405v1_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2212_11405v1_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2209_08535v4_claim1,true,false,false,false,false,false,false,false,,
ext_2205_01726v1_claim3,true,false,false,false,false,false,false,false,,
ext_2205_01726v1_claim4,true,false,false,false,false,false,false,false,,
ext_2205_01726v1_claim5,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2204_10741v2_claim1,true,true,false,false,false,false,false,false,,
ext_2204_10741v2_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2112_07416v2_claim2,true,false,false,false,false,false,false,false,,
ext_2112_07416v2_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2111_08085v3_claim1,true,false,false,false,false,false,false,false,,
ext_2111_08085v3_claim2,true,false,false,false,false,false,false,false,,
ext_2107_08606v3_claim1,true,true,false,false,false,false,false,false,,
ext_2107_08606v3_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2107_08606v3_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2103_08563v3_claim1,true,false,false,false,false,false,false,false,,
ext_2103_08563v3_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2102_00345v2_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2102_00345v2_claim3,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2101_08526v7_claim2,true,false,false,false,false,false,false,false,,
ext_2011_08137v3_claim1,true,false,false,false,false,false,false,false,,
ext_2011_08137v3_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2011_08137v3_claim4,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2009_13545v3_claim2,true,false,false,false,false,false,false,false,,
ext_2009_13545v3_claim3,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2009_03351v3_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2008_02941v2_claim1,true,false,false,false,false,false,false,false,,
ext_2008_02941v2_claim2,true,false,false,false,false,false,false,false,,
ext_2006_13222v2_claim2,true,false,false,false,false,false,false,false,,
ext_2005_11011v2_claim1,true,false,false,false,false,false,false,false,,
ext_2005_11011v2_claim2,true,false,false,false,false,false,false,false,,
ext_2005_11011v2_claim3,true,false,false,false,false,false,false,false,,
ext_2002_11724v2_claim1,true,false,false,false,false,false,false,false,,
ext_2002_11724v2_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2002_11724v2_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2110_10788v3_claim3,true,false,false,false,false,false,false,false,,
ext_2405_05875v2_claim4,true,false,false,false,false,false,false,false,,
ext_2411_19388v1_claim11,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2306_02024v1_claim2,true,false,false,false,false,false,false,false,,
